molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50
CHEMBL116463,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,active,517.6200000000002,6.181880000000007,1.0,4.0,-0.012019096043414543,5.215382707367125
CHEMBL559612,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,active,376.5810000000002,5.657300000000008,3.0,3.0,-0.0411761133514413,7.841637507904751
CHEMBL559612,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,active,376.5810000000002,5.657300000000008,3.0,3.0,-0.04111324599237633,7.560667306169737
CHEMBL181331,Cn1c(C(=O)NN2CCOCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,465.76800000000014,4.691300000000004,1.0,5.0,-0.040429383498730626,6.769551078621726
CHEMBL361384,Cn1c(C(=O)NC2CCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,448.7810000000002,6.386700000000005,1.0,3.0,-0.041163635860329166,7.769551078621726
CHEMBL181096,Cn1c(C(=O)NC2CCCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,476.83500000000015,7.166900000000005,1.0,3.0,-0.04120682717571732,8.096910013008056
CHEMBL181631,CN(C(=O)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)n1C)C1CCCCC1,active,476.83500000000026,7.119000000000005,0.0,3.0,-0.040909287003043394,7.154901959985743
CHEMBL362643,Cn1c(C(=O)Nc2ccccc2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,456.7600000000002,6.966600000000003,1.0,3.0,-0.04095727735347467,7.221848749616356
CHEMBL179507,CCn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,476.83500000000015,7.259700000000005,1.0,3.0,-0.04122554341238551,8.387216143280265
CHEMBL180461,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,active,463.79600000000016,5.845000000000004,1.0,4.0,-0.04033340279786807,6.721246399047171
CHEMBL368441,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,active,462.8080000000001,6.776800000000004,1.0,3.0,-0.041024463844078464,7.337242168318426
CHEMBL180144,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1Cl,active,498.2410000000002,6.498400000000004,1.0,4.0,-0.041168434895372294,7.795880017344075
CHEMBL361557,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1Cl,active,497.25300000000016,7.430200000000005,1.0,3.0,-0.041220264473838066,8.2839966563652
CHEMBL179119,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)o1,active,416.3080000000001,5.446100000000004,1.0,4.0,-0.03068734236118136,5.657577319177793
CHEMBL179324,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)o1,active,415.32000000000016,6.377900000000004,1.0,3.0,-0.038845701934498475,6.301029995663981
CHEMBL359488,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)o1,active,450.75300000000016,6.099500000000004,1.0,4.0,-0.03999747034484913,6.585026652029182
CHEMBL359945,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)o1,active,449.7650000000002,7.031300000000004,1.0,3.0,-0.040861296652612115,7.096910013008056
CHEMBL181305,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)o1,active,450.75300000000016,6.0995000000000035,1.0,4.0,-0.03898967298579231,6.327902142064283
CHEMBL181403,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)o1,active,449.7650000000002,7.031300000000003,1.0,3.0,-0.03644618441293462,6.0
CHEMBL181254,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2Cl)o1,active,484.21000000000026,7.684700000000004,1.0,3.0,-0.040909287003043394,7.154901959985743
CHEMBL182192,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2Cl)o1,inactive,485.1980000000002,6.752900000000004,1.0,4.0,-0.040285412447436796,6.698970004336019
CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,463.79600000000016,5.938620000000005,1.0,4.0,-0.041216425245803566,8.221848749616356
CHEMBL179233,CC(=O)C(Sc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)c1ccccc1,active,384.5040000000001,6.166100000000005,1.0,3.0,-0.00765197415416832,5.154901959985743
CHEMBL361182,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccccc2)c1-c1ccccc1,active,360.46100000000007,3.884800000000003,1.0,4.0,-0.032127052874119676,5.721246399047171
CHEMBL362638,Cn1c(C(=O)N2CCCCC2)nc(-c2ccccc2)c1-c1ccccc1,active,345.4460000000001,4.380200000000004,0.0,3.0,0.04993644636336428,4.721246399047171
CHEMBL368223,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccccc2)c1-c1ccccc1,active,359.473,4.816600000000004,1.0,3.0,-0.032606956378432445,5.7447274948966935
CHEMBL360352,Cc1ccc(-c2nc(C(=O)NN3CCCCC3)n(C)c2-c2ccc(C)cc2)cc1,active,388.5150000000001,4.5016400000000045,1.0,4.0,-0.039037663336223584,6.337242168318426
CHEMBL181269,Cc1ccc(-c2nc(C(=O)NC3CCCCC3)n(C)c2-c2ccc(C)cc2)cc1,active,387.5270000000001,5.433440000000005,1.0,3.0,-0.03692608791724739,6.045757490560675
