,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1,CHEMBL559612,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,active,376.5810000000002,5.657300000000008,3.0,3.0,7.841637507904751
2,CHEMBL181331,Cn1c(C(=O)NN2CCOCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,465.76800000000014,4.691300000000004,1.0,5.0,6.769551078621726
3,CHEMBL361384,Cn1c(C(=O)NC2CCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,448.7810000000002,6.386700000000005,1.0,3.0,7.769551078621726
4,CHEMBL181096,Cn1c(C(=O)NC2CCCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,476.83500000000015,7.166900000000005,1.0,3.0,8.096910013008056
5,CHEMBL181631,CN(C(=O)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)n1C)C1CCCCC1,active,476.83500000000026,7.119000000000005,0.0,3.0,7.154901959985743
6,CHEMBL362643,Cn1c(C(=O)Nc2ccccc2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,456.7600000000002,6.966600000000003,1.0,3.0,7.221848749616356
7,CHEMBL179507,CCn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,476.83500000000015,7.259700000000005,1.0,3.0,8.387216143280265
8,CHEMBL180461,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,active,463.79600000000016,5.845000000000004,1.0,4.0,6.721246399047171
9,CHEMBL368441,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1Cl,active,462.8080000000001,6.776800000000004,1.0,3.0,7.337242168318426
10,CHEMBL180144,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1Cl,active,498.2410000000002,6.498400000000004,1.0,4.0,7.795880017344075
11,CHEMBL361557,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1Cl,active,497.25300000000016,7.430200000000005,1.0,3.0,8.2839966563652
13,CHEMBL179324,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)o1,active,415.32000000000016,6.377900000000004,1.0,3.0,6.301029995663981
14,CHEMBL359488,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)o1,active,450.75300000000016,6.099500000000004,1.0,4.0,6.585026652029182
15,CHEMBL359945,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)o1,active,449.7650000000002,7.031300000000004,1.0,3.0,7.096910013008056
16,CHEMBL181305,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)o1,active,450.75300000000016,6.0995000000000035,1.0,4.0,6.327902142064283
17,CHEMBL181403,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)o1,active,449.7650000000002,7.031300000000003,1.0,3.0,6.0
18,CHEMBL181254,O=C(NC1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2Cl)o1,active,484.21000000000026,7.684700000000004,1.0,3.0,7.154901959985743
19,CHEMBL182192,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2Cl)o1,active,485.1980000000002,6.752900000000004,1.0,4.0,6.698970004336019
20,CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,463.79600000000016,5.938620000000005,1.0,4.0,8.221848749616356
23,CHEMBL362638,Cn1c(C(=O)N2CCCCC2)nc(-c2ccccc2)c1-c1ccccc1,inactive,345.4460000000001,4.380200000000004,0.0,3.0,4.721246399047171
25,CHEMBL360352,Cc1ccc(-c2nc(C(=O)NN3CCCCC3)n(C)c2-c2ccc(C)cc2)cc1,active,388.5150000000001,4.5016400000000045,1.0,4.0,6.337242168318426
26,CHEMBL181269,Cc1ccc(-c2nc(C(=O)NC3CCCCC3)n(C)c2-c2ccc(C)cc2)cc1,active,387.5270000000001,5.433440000000005,1.0,3.0,6.045757490560675
28,CHEMBL362423,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,429.3510000000001,5.191600000000005,1.0,4.0,6.585026652029182
29,CHEMBL362679,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,428.36300000000006,6.123400000000005,1.0,3.0,6.346787486224656
32,CHEMBL180734,CCCCCCNC(=O)c1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)n1C,active,430.37900000000013,6.371000000000006,1.0,3.0,6.267606240177032
33,CHEMBL181818,Cn1c(C(=O)NC(C)(C)C)nc(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,active,402.32500000000005,5.589200000000004,1.0,3.0,6.045757490560675
36,CHEMBL369097,Cn1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,463.79600000000016,5.845000000000004,1.0,4.0,8.214670164989233
37,CHEMBL179473,Cn1c(C(=O)NC2CCCCC2)nc(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,active,462.8080000000001,6.776800000000005,1.0,3.0,8.397940008672037
38,CHEMBL181888,COc1ccc(-c2cc(C#N)c(OCc3ccccc3)nc2-c2ccc(N(C)C)cc2)cc1,active,435.52700000000016,5.940880000000006,0.0,5.0,6.275724130399211
41,CHEMBL180507,O=C(c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1)N1CCCCC1,active,445.77700000000027,7.0019000000000045,0.0,2.0,6.468521082957745
42,CHEMBL360474,CCCCCCNC(=O)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,461.8200000000002,7.6859000000000055,1.0,2.0,7.366531544420414
43,CHEMBL180447,CCCC(CCC)NC(=O)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,475.84700000000015,8.074400000000006,1.0,2.0,7.494850021680094
44,CHEMBL181720,O=C(NC1CCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,445.7770000000002,7.048200000000004,1.0,2.0,7.275724130399211
45,CHEMBL180648,O=C(NC1CCCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,459.80400000000026,7.438300000000005,1.0,2.0,7.022276394711152
46,CHEMBL360673,O=C(NC1CCCCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,473.8310000000002,7.828400000000006,1.0,2.0,7.455931955649724
47,CHEMBL180564,O=C(NN1CCCCC1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,460.7920000000002,6.506500000000004,1.0,3.0,7.251811972993799
48,CHEMBL181016,O=C(Nc1ccccc1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,453.75600000000014,7.628100000000003,1.0,2.0,6.6777807052660805
49,CHEMBL182141,O=C(NCc1ccccc1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,active,467.7830000000002,7.305800000000004,1.0,2.0,7.508638306165727
50,CHEMBL180360,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1cc(F)cc(F)c1,active,501.74700000000024,8.104680000000004,0.0,3.0,8.744727494896694
51,CHEMBL362219,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)cc1F,active,501.74700000000024,8.104680000000004,0.0,3.0,8.568636235841012
52,CHEMBL367819,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,501.74700000000024,8.104680000000004,0.0,3.0,8.886056647693163
53,CHEMBL2113009,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1cccc(Cl)c1,active,500.2120000000002,8.479880000000001,0.0,3.0,8.236572006437063
54,CHEMBL361519,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(C(F)(F)F)cc1,active,533.7640000000002,8.845279999999999,0.0,3.0,8.468521082957745
55,CHEMBL178446,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)nc1OCc1ccc(F)c(F)c1,active,467.3020000000002,7.451280000000005,0.0,3.0,7.7447274948966935
56,CHEMBL179787,N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1OCc1ccc(F)c(F)c1,active,467.3020000000002,7.451280000000005,0.0,3.0,8.096910013008056
57,CHEMBL180409,N#Cc1cc(-c2ccc(F)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,485.2920000000002,7.590380000000005,0.0,3.0,8.142667503568731
58,CHEMBL181629,Cc1ccc(-c2cc(C#N)c(OCc3ccc(F)c(F)c3)nc2-c2ccc(Cl)cc2Cl)cc1,active,481.3290000000002,7.759700000000004,0.0,3.0,8.200659450546418
59,CHEMBL362215,N#Cc1cc(-c2ccc(F)cc2)c(-c2ccc(F)cc2F)nc1OCc1ccc(F)c(F)c1,active,452.3820000000001,6.561780000000003,0.0,3.0,7.180456064458132
60,CHEMBL179779,NC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,483.7820000000002,7.053700000000004,1.0,3.0,7.7447274948966935
61,CHEMBL426241,CNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,497.80900000000025,7.3144000000000045,1.0,3.0,8.154901959985743
62,CHEMBL361152,CN(C)C(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,511.8360000000002,7.656600000000006,0.0,3.0,7.657577319177793
63,CHEMBL360763,CCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,511.8360000000002,7.704500000000006,1.0,3.0,8.853871964321762
64,CHEMBL426601,CCCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,525.8630000000003,8.094600000000005,1.0,3.0,8.221848749616356
65,CHEMBL361785,O=C(NC1CCCC1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,551.9010000000004,8.627200000000002,1.0,3.0,7.7447274948966935
66,CHEMBL180028,O=C(NN1CCCCC1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,566.9160000000004,8.085500000000005,1.0,4.0,7.3872161432802645
67,CHEMBL359865,COC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,active,498.7930000000002,7.741400000000006,0.0,4.0,8.455931955649724
68,CHEMBL179901,COC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,534.7730000000003,8.019600000000006,0.0,4.0,8.886056647693163
69,CHEMBL425870,CCCCOc1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)cc1C(=O)OC,active,464.77600000000024,7.341300000000006,0.0,4.0,8.721246399047171
70,CHEMBL360783,COC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCC1CCCCC1,active,504.84100000000035,8.121500000000005,0.0,4.0,8.537602002101044
71,CHEMBL181875,CNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,533.7890000000003,7.5926000000000045,1.0,3.0,8.508638306165727
72,CHEMBL360104,CCNC(=O)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccc(F)c(F)c1,active,547.8160000000003,7.982700000000006,1.0,3.0,8.721246399047171
